run_id,timestamp,total_time,method,degree_distribution,n_graphs,universe_homophily,universe_edge_density,homophily_range_width,density_range_width,degree_heterogeneity,edge_noise,family_n_graphs,family_node_counts_mean,family_node_counts_std,family_node_counts_min,family_node_counts_max,family_edge_counts_mean,family_edge_counts_std,family_edge_counts_min,family_edge_counts_max,family_community_counts_mean,family_community_counts_std,family_community_counts_min,family_community_counts_max,consistency_overall,consistency_pattern,consistency_fidelity,consistency_degree,signal_degree_signals_mean,signal_degree_signals_std,signal_structure_signals_mean,signal_structure_signals_std,signal_feature_signals_mean,signal_feature_signals_std,community_gcn_accuracy,community_gcn_f1_macro,community_gcn_train_time,community_gcn_success,community_sage_accuracy,community_sage_f1_macro,community_sage_train_time,community_sage_success,community_mlp_accuracy,community_mlp_f1_macro,community_mlp_train_time,community_mlp_success,community_rf_accuracy,community_rf_f1_macro,community_rf_train_time,community_rf_success
20,20250527_103214,12.513993978500366,dc_sbm,standard,12,0.7,0.1,0.010126413126962497,0.024455375398279234,0.692259568096618,0.0822803999619549,12,90.75,5.4333077709010125,83.0,100.0,892.5,216.45034072507255,495.0,1287.0,4.25,0.7216878364870323,3.0,5.0,0.7621984247783649,0.8428680605784479,0.9945479129475578,0.13616017683981257,0.44165935672514617,0.10954879789669189,1.929105655577204,0.438007248409913,0.830963971242609,0.07853302567551135,1.0,1.0,1.7375092506408691,True,1.0,1.0,1.167400598526001,True,0.920863309352518,0.9214213137742548,1.3572101593017578,True,0.7841726618705036,0.7589768141305524,0.3373758792877197,True
21,20250527_103228,13.119933843612671,dc_sbm,standard,12,0.7,0.1,0.16618230675017592,0.01981239468526834,0.1336887408060537,0.10513451221857056,12,92.66666666666667,5.849976258261415,82.0,100.0,722.1666666666666,217.8374138867997,470.0,1042.0,3.9166666666666665,0.8620067027323833,3.0,5.0,0.750310836403537,0.8519356065063007,0.9955071056410257,0.056668757723031815,0.4182944186446509,0.12664630405733046,1.8803766015980559,0.48847528462713835,0.8294003181696259,0.07566981734583521,1.0,1.0,1.520493745803833,True,1.0,1.0,1.124107837677002,True,0.9328358208955224,0.9179787654206258,1.7128245830535889,True,0.8731343283582089,0.8225428936511385,0.4435694217681885,True
22,20250527_103246,17.97643756866455,dc_sbm,standard,12,0.7,0.15000000000000002,0.11372955763013103,0.028354908358980704,0.5169147588599854,0.08997177977109053,12,90.33333333333333,5.892556509887896,81.0,100.0,1009.8333333333334,238.0657588893362,732.0,1500.0,4.083333333333333,0.759202798262025,3.0,5.0,0.7327238206070034,0.847900744579916,0.9969179126810076,-0.02601821148683096,0.3572831384015594,0.05167418730848525,1.438224408580205,0.46477312780765845,0.8027919290748238,0.07383559754263962,0.9745454545454545,0.9148601477854843,1.9354958534240723,True,0.9963636363636363,0.9904,1.274958610534668,True,0.9272727272727272,0.9354353301098837,3.2782557010650635,True,0.8872727272727273,0.8678904954694427,0.531095027923584,True
23,20250527_103304,18.158356428146362,dc_sbm,standard,12,0.7,0.15000000000000002,0.0655935150441618,0.001570135975129028,0.30098769413779236,0.03452893111104129,12,90.75,6.00173586001028,80.0,100.0,1016.5,258.05280467377213,598.0,1487.0,3.9166666666666665,0.6400954789890507,3.0,5.0,0.7353648192022795,0.8534320359740062,0.9971349782195738,-0.024309932375762178,0.42941792798990946,0.08753604569247225,1.7367409370521913,0.5456415204780164,0.8029644707124993,0.0851553009439427,0.8943396226415095,0.7273742396366831,1.0931575298309326,True,0.9283018867924528,0.7763702669149597,0.7919483184814453,True,0.8641509433962264,0.6941123201148501,0.7205102443695068,True,0.8679245283018868,0.7159305628682741,0.3445131778717041,True
24,20250527_103317,13.126657247543335,dc_sbm,standard,12,0.8999999999999999,0.05,0.04628627343938274,0.006684978035003297,0.3538798263238213,0.1358217750891263,12,89.83333333333333,5.742144392317406,82.0,100.0,628.5,171.05822595440029,299.0,828.0,3.9166666666666665,0.6400954789890507,3.0,5.0,0.7689182409214985,0.8942647922581558,0.9969126853859661,0.062236249319248364,0.5146236813438826,0.17358349231763184,11.580934975952184,9.694035809124815,0.8157787903580976,0.13174977223723988,1.0,1.0,1.5189416408538818,True,1.0,1.0,1.3534631729125977,True,0.9605734767025089,0.9604264109691479,0.9222376346588135,True,0.942652329749104,0.9402366135362408,0.3241875171661377,True
25,20250527_103329,11.833990097045898,dc_sbm,standard,12,0.8999999999999999,0.05,0.16375542898049358,0.04294283052956795,0.5801248105966055,0.06631836420268684,12,92.83333333333333,6.175669104549635,83.0,100.0,665.75,127.12665928120663,367.0,821.0,3.75,0.5951190357119042,3.0,5.0,0.7799480364599713,0.9347359291432896,0.9961658765092801,0.03793657099471704,0.46922442953789706,0.10401105678643821,19.767898045047,7.285007312418812,0.7858023690456554,0.08871627916383007,0.7545126353790613,0.7415153268011723,0.8079094886779785,True,0.9783393501805054,0.9769647696476964,0.7620058059692383,True,0.9422382671480144,0.9398471848267174,0.880603551864624,True,0.9025270758122743,0.9003794360974756,0.3249197006225586,True
26,20250527_103340,11.614651918411255,dc_sbm,standard,12,0.8999999999999999,0.1,0.07781144098453302,0.0021680525580950127,0.507421239488623,0.02250243356222428,12,93.08333333333333,4.940619619260546,84.0,99.0,725.4166666666666,229.65969691891715,454.0,1270.0,3.9166666666666665,0.759202798262025,3.0,5.0,0.7484563204197693,0.9067209127386402,0.9971323039554952,-0.0654248312894244,0.5018241887398234,0.1224181403416293,14.969280470596663,9.535735380787079,0.8323600905553952,0.09229235399716937,1.0,1.0,0.832801342010498,True,1.0,1.0,0.7484512329101562,True,0.9575971731448764,0.9571655771395524,0.8705103397369385,True,0.9151943462897526,0.7348476243028047,0.3143138885498047,True
27,20250527_103353,12.664773225784302,dc_sbm,standard,12,0.8999999999999999,0.1,0.08887474850173006,0.040453385783666335,0.34517676765638805,0.15788185128617852,12,89.66666666666667,5.878397362849466,80.0,100.0,749.8333333333334,254.96268790201873,360.0,1340.0,3.8333333333333335,0.6871842709362768,3.0,5.0,0.7412076690579945,0.9091283280385679,0.9982012399161508,-0.10862079061946522,0.477588220960899,0.12967124990084894,13.075295105246882,9.959149345677227,0.8505142409175871,0.08576178205881416,0.9460431654676259,0.7812321783461506,1.3776764869689941,True,0.9460431654676259,0.7798828786885453,0.8616926670074463,True,0.9028776978417267,0.7422380936438676,1.3276021480560303,True,0.8633093525179856,0.7680747546072031,0.33745503425598145,True
28,20250527_103407,13.658957719802856,dc_sbm,standard,12,0.8999999999999999,0.15000000000000002,0.2782441615856876,0.04362131472046078,0.5092418908168872,0.1810340347447594,12,91.08333333333333,5.880169120772709,80.0,100.0,832.5,177.35956886130128,552.0,1212.0,4.5,0.6454972243679028,3.0,5.0,0.7686902456798927,0.9134985901988307,0.9988708621182054,0.018712323765391194,0.545035188051829,0.15106516847116558,15.221526001814558,9.384833001423164,0.7663885567371063,0.1013316467253145,0.937037037037037,0.909751018336243,1.2383217811584473,True,1.0,1.0,0.9423494338989258,True,0.9444444444444444,0.9467438192099543,2.140479564666748,True,0.8888888888888888,0.8792743703267103,0.32783079147338867,True
29,20250527_103427,20.686898708343506,dc_sbm,standard,12,0.8999999999999999,0.15000000000000002,0.05567258244556179,0.0193299651521035,0.6823273390460188,0.03973948980797644,12,90.25,5.629165124598851,80.0,100.0,806.5,192.30682948524387,620.0,1334.0,4.0,0.7071067811865476,3.0,5.0,0.7962922517305848,0.9216691773335906,0.9977279499614046,0.14266700406293423,0.5212428333906661,0.07907581499691282,15.950843822205583,8.986960494226333,0.8435750346161682,0.08272699175886249,0.9361702127659575,0.7795454545454545,1.368152379989624,True,0.9574468085106383,0.8858823529411766,1.0295741558074951,True,0.9326241134751773,0.9021386731410657,1.7827274799346924,True,0.8652482269503546,0.7362461654636477,0.31654930114746094,True
