run_id,timestamp,total_time,method,degree_distribution,n_graphs,universe_homophily,universe_edge_density,homophily_range_width,density_range_width,degree_heterogeneity,edge_noise,cluster_count_factor,cluster_variance,center_variance,assignment_skewness,community_exclusivity,universe_randomness_factor,family_n_graphs,family_node_counts_mean,family_node_counts_std,family_node_counts_min,family_node_counts_max,family_edge_counts_mean,family_edge_counts_std,family_edge_counts_min,family_edge_counts_max,family_community_counts_mean,family_community_counts_std,family_community_counts_min,family_community_counts_max,consistency_overall,consistency_pattern,consistency_fidelity,consistency_degree,signal_degree_signals_mean,signal_degree_signals_std,signal_structure_signals_mean,signal_structure_signals_std,signal_feature_signals_mean,signal_feature_signals_std,community_gcn_accuracy,community_gcn_f1_macro,community_gcn_train_time,community_gcn_success,community_sage_accuracy,community_sage_f1_macro,community_sage_train_time,community_sage_success,community_mlp_accuracy,community_mlp_f1_macro,community_mlp_train_time,community_mlp_success,community_rf_accuracy,community_rf_f1_macro,community_rf_train_time,community_rf_success
11,20250527_105213,16.433792114257812,dc_sbm,standard,12,0.2,0.07,0.16933248144202678,0.028058277013251712,0.45487540240575286,0.03521749136919618,1.0858513841348372,0.2725173746938071,1.2429098524012256,0.13227109936101722,0.7913516245354864,0.3477850228457219,12,89.25,4.529992641642294,82.0,97.0,667.75,223.31074201658996,303.0,1047.0,4.666666666666667,0.4714045207910316,4.0,5.0,0.597457116987805,0.5768060216215841,0.8398589400765717,0.15395566154271326,0.2946175897259489,0.06657501013738838,0.11431776448952069,0.04385300952066517,0.40380711257839746,0.09491660695867826,0.5390334572490706,0.475178628796219,2.2590415477752686,True,0.6431226765799256,0.6281702380816916,1.8855438232421875,True,0.5613382899628253,0.5544853294853296,1.3229796886444092,True,0.4795539033457249,0.42963429047733104,0.35536861419677734,True
13,20250527_105230,10.478187561035156,dc_sbm,standard,12,0.2,0.12000000000000001,0.0186216573343716,0.04858279599948938,0.4838599804636461,0.02425227014980641,1.0311238298072531,0.1499166753777514,1.295319261806943,0.02055007673043685,0.6433390935802882,0.767160045428697,9,91.88888888888889,5.546659544154971,84.0,100.0,761.3333333333334,235.99340857085159,565.0,1181.0,4.111111111111111,0.3142696805273545,4.0,5.0,0.6892096648842458,0.7476898525948452,0.8067214431196856,0.3372257329921672,0.4646969957573672,0.10103273305391931,0.15917900987915742,0.06693382812676463,0.4657663322358548,0.10375803839633521,0.5755395683453237,0.5848994534639598,2.1667070388793945,True,0.7050359712230215,0.7047680758127005,1.0015134811401367,True,0.6294964028776978,0.6273782793984872,0.7160921096801758,True,0.5935251798561151,0.594114452082627,0.24285197257995605,True
15,20250527_105252,12.523754835128784,dc_sbm,standard,12,0.2,0.17,0.01746992858043501,0.0115238549775864,0.41106107063891273,0.0310782698560087,1.0659558907615057,0.27708121485408677,1.2125781698172613,0.45907755364179875,0.8088363011374708,0.42468726138828505,12,92.16666666666667,3.6704525909242065,83.0,97.0,957.5833333333334,158.73114498701537,733.0,1302.0,4.666666666666667,0.4714045207910316,4.0,5.0,0.6372604207293677,0.5860418819644632,0.8770652063053673,0.26008792710717793,0.4140608875128999,0.0784613300127803,0.174044431275748,0.06546170645892609,0.38082941560816835,0.06973424269969036,0.35036496350364965,0.2685129490392648,1.379575252532959,True,0.6496350364963503,0.6396449467351106,1.326115369796753,True,0.6058394160583942,0.5860281623571036,0.9034559726715088,True,0.5766423357664233,0.5579118615801542,0.34200263023376465,True
16,20250527_105306,14.548359155654907,dc_sbm,standard,12,0.4,0.02,0.07302111660453879,0.022560295794666896,0.4960603487677895,0.007562206659513693,1.071761582327721,0.15192066282923972,0.4701186435947529,0.1874380832526103,0.9263426697724058,0.968834693707313,12,89.5,5.634713834792322,82.0,100.0,541.6666666666666,157.505731818101,240.0,718.0,4.25,0.4330127018922193,4.0,5.0,0.7515508661246113,0.8751564237850372,0.9224501950957477,0.16254109286148682,0.47156246416695335,0.06716419140947476,0.5865856884510676,0.25559138148533755,0.7079085216827091,0.08266139632643393,0.6770428015564203,0.6993336390125381,3.3821351528167725,True,0.8482490272373541,0.8503321822349869,2.4423410892486572,True,0.8482490272373541,0.8469280733239746,0.8322296142578125,True,0.8287937743190662,0.8272781252350037,0.3141920566558838,True
17,20250527_105318,11.149996042251587,dc_sbm,standard,12,0.4,0.02,0.18480702311488506,0.007893529026739598,0.8669150768157973,0.00841569408614582,1.0735736839376275,0.14815048576282727,0.39185803113690815,0.28199020597915675,0.6879293407274705,0.6486207995826014,12,85.75,8.632545009053432,71.0,100.0,385.25,229.20919302389828,93.0,888.0,4.333333333333333,0.4714045207910316,4.0,5.0,0.6999995220263416,0.8762863386867764,0.8081681397400083,0.13108865327813868,0.2888637340901273,0.046700067196920374,0.2684253450679564,0.11148519645502479,0.5037238149921973,0.0560526676100275,0.6062992125984252,0.5330219191637539,1.3173739910125732,True,0.6062992125984252,0.5227291073638987,0.848963737487793,True,0.6259842519685039,0.5173790077756233,0.7871782779693604,True,0.5669291338582677,0.49083872527332,0.3697504997253418,True
18,20250527_105335,16.913426876068115,dc_sbm,standard,12,0.4,0.07,0.06017466600932375,0.0093472908170939,0.32318267696821945,0.06657495702883091,1.0669708009692134,0.2051444398603947,0.575328224131649,0.0052907679393214835,0.6681462403974848,0.12339337068010403,12,88.58333333333333,6.020220557052338,80.0,96.0,537.1666666666666,179.17209294108522,259.0,805.0,4.5,0.5,4.0,5.0,0.706415594757464,0.7790967279903506,0.9628545140647756,0.04817548967706689,0.29231947311088174,0.05913540074244659,0.32392103916034626,0.15910841311501517,0.4004180120455864,0.09465177003536543,0.5606060606060606,0.45393816709606194,1.224294900894165,True,0.6174242424242424,0.5130203621627697,1.4735448360443115,True,0.5378787878787878,0.4490464955457023,0.6717097759246826,True,0.5151515151515151,0.425730999028442,0.350827693939209,True
19,20250527_105349,14.347100496292114,dc_sbm,standard,12,0.4,0.07,0.16489389518265637,0.009067486624859988,0.8773267682070526,0.04995513073466393,1.4649264332226783,0.011737317936768115,1.386230076491194,0.3147219566172721,0.7217190219997407,0.3409250820666343,12,89.0,5.816642788871716,80.0,97.0,601.25,269.3811194200514,277.0,1000.0,4.25,0.4330127018922193,4.0,5.0,0.7373297626535558,0.8818172397695401,0.9253949231637901,0.0722244874011182,0.30714704449031077,0.05724515154549214,0.2868688051677443,0.15071532855381004,0.8005294746103568,0.06101220229472754,0.7608695652173914,0.7303829101556737,3.463541030883789,True,0.7934782608695652,0.6507792439138023,1.3940818309783936,True,0.7717391304347826,0.636939955327815,0.9416675567626953,True,0.8152173913043478,0.7958323950727009,0.3301723003387451,True
20,20250527_105358,9.371039152145386,dc_sbm,standard,12,0.4,0.12000000000000001,0.0067509420846416646,0.024455375398279234,0.8460850972808829,0.04114019998097745,1.1314153737307646,0.15256218626040569,0.818772430506012,0.11409068995165189,0.6961105317681607,0.9534575270642959,8,91.875,4.567206476611277,82.0,99.0,610.875,112.12764768334347,408.0,782.0,4.375,0.4841229182759271,4.0,5.0,0.6636397269406351,0.8003787878787878,0.8616206426703452,-0.005800226395090688,0.31063843739250085,0.0924573664196329,0.5613414611653277,0.13244794505140814,0.472796866124072,0.10022006876290733,0.6052631578947368,0.5043262580814629,1.1591596603393555,True,0.6203007518796992,0.5280031435637842,0.8931465148925781,True,0.5413533834586466,0.45736686045758823,0.6904206275939941,True,0.5225563909774437,0.44607549313431666,0.2498929500579834,True
21,20250527_105411,13.152770042419434,dc_sbm,standard,12,0.4,0.12000000000000001,0.11078820450011728,0.01981239468526834,0.04812677258007669,0.05256725610928528,0.6530385818118903,0.2550049788871354,0.3915693017770599,0.2715465789347553,0.8193064478073887,0.22578871385664923,12,91.25,5.47912705942592,83.0,99.0,815.5,295.7680679180902,442.0,1538.0,4.25,0.4330127018922193,4.0,5.0,0.7486232030675126,0.7925626571416439,0.9727498624859852,0.21249097608230452,0.3332848870542369,0.05804871232257031,0.3135936746915399,0.11926082045326919,0.4017209716605665,0.1053917038186133,0.5672727272727273,0.41874965903151457,1.3052575588226318,True,0.5927272727272728,0.49179196153047977,1.3431057929992676,True,0.509090909090909,0.4263864719929269,1.5662004947662354,True,0.4909090909090909,0.4117353590530984,0.3810083866119385,True
22,20250527_105427,15.495189666748047,dc_sbm,standard,12,0.4,0.17,0.07581970508675402,0.028354908358980704,0.5955925126571219,0.04498588988554526,0.9570198253947186,0.1627089889589438,0.4768726681843799,0.14742973050079022,0.8123089844942506,0.3962220215994189,12,90.0,6.670832032063167,80.0,98.0,951.0,230.4849958963345,609.0,1358.0,4.583333333333333,0.4930066485916347,4.0,5.0,0.7165987515307604,0.888762626262626,0.9370414462686748,-0.06861438740880021,0.2953570404770095,0.0799915134673509,0.3399421852245564,0.11857916073015601,0.4466651613565313,0.12948972851668103,0.6334519572953736,0.5858379978140126,4.0148913860321045,True,0.6263345195729537,0.5616620694079157,0.8676254749298096,True,0.5480427046263345,0.4911557143478874,0.8239772319793701,True,0.47686832740213525,0.4383089841874671,0.3393535614013672,True
23,20250527_105447,19.87266969680786,dc_sbm,standard,12,0.4,0.17,0.04372901002944121,0.001570135975129028,0.2871252773397034,0.017264465555520647,0.8033763808784103,0.08984560902847329,1.051977492309372,0.3857554158340966,0.8058209790513068,0.23580688811756312,12,91.5,5.766281297335398,81.0,100.0,1130.6666666666667,183.62567600662194,910.0,1585.0,4.5,0.5,4.0,5.0,0.7644363572042545,0.862166916722067,0.9690701325796085,0.15970768741792152,0.3067196279096434,0.07053145352803003,0.29791393782948844,0.1350001007423246,0.5847312481406909,0.13844531873504567,0.597864768683274,0.43294554982029093,1.3139569759368896,True,0.7900355871886121,0.6511962075538433,2.005016565322876,True,0.7829181494661922,0.6448499142495637,0.7153754234313965,True,0.7330960854092526,0.6025025687372572,0.41910266876220703,True
24,20250527_105504,16.764461994171143,dc_sbm,standard,12,0.6000000000000001,0.02,0.03085751562625516,0.006684978035003297,0.36268546617688757,0.06791088754456315,0.6944500573338677,0.13309308790862684,1.140040423388054,0.2788092947811764,0.8059211671577344,0.46779986232110005,12,92.5,8.025999418556339,74.0,100.0,554.5833333333334,217.00516826922706,93.0,878.0,4.75,0.4330127018922193,4.0,5.0,0.7165757963016544,0.8013462120670966,0.9855610620001548,0.00906443337376864,0.32805195177486207,0.07161211721669206,1.13946229280184,0.2557243874093907,0.4300556720526428,0.0780552475067722,0.6690909090909091,0.6631675524037487,3.816256284713745,True,0.6509090909090909,0.6393995404620122,1.9460387229919434,True,0.5018181818181818,0.44991344183242915,0.8572297096252441,True,0.48363636363636364,0.4468478634818996,0.4336569309234619,True
25,20250527_105518,14.291326761245728,dc_sbm,standard,12,0.6000000000000001,0.02,0.10917028598699573,0.04294283052956795,0.6858925865665791,0.03315918210134342,0.5599979295606179,0.19927611271092738,0.3275932894396899,0.46625332504068007,0.8891273195423448,0.0468953066683796,12,83.41666666666667,6.499465790013481,71.0,94.0,322.5,175.52896247248393,89.0,634.0,4.416666666666667,0.4930066485916346,4.0,5.0,0.6703085894123981,0.7203243753736753,0.9610355676264053,-0.011176938938171316,0.3182494532900879,0.06804937049440687,1.1348400382390074,0.4348316482432205,0.36447235212328094,0.08562269289665213,0.4411764705882353,0.2494819686060866,1.1921169757843018,True,0.40441176470588236,0.3278062598356356,2.727022647857666,True,0.3602941176470588,0.2534457790271744,0.4782264232635498,True,0.3897058823529412,0.3013045606021766,0.3139927387237549,True
26,20250527_105530,12.42382001876831,dc_sbm,standard,12,0.6000000000000001,0.07,0.05187429398968868,0.0021680525580950127,0.5820303421266043,0.01125121678111214,1.1107767824971504,0.15523009956490627,1.212805768182672,0.04741886745810986,0.8800401495182277,0.932896023067255,12,91.0,5.5377492419453835,84.0,100.0,724.5833333333334,192.77424548476964,474.0,1116.0,4.666666666666667,0.4714045207910316,4.0,5.0,0.7405110677472229,0.8018642041217278,0.9843363542314526,0.13015422202975355,0.32384560256851275,0.11146042316260908,1.1894996716327502,0.25115913174463644,0.5938982673816265,0.11254964492057433,0.9924812030075187,0.9931191520317805,1.3697569370269775,True,0.9849624060150376,0.98655023932406,1.4310579299926758,True,0.8157894736842105,0.8029717547646948,0.7807557582855225,True,0.7443609022556391,0.7141811320860846,0.32109975814819336,True
27,20250527_105546,15.417381763458252,dc_sbm,standard,12,0.6000000000000001,0.07,0.05924983233448671,0.040453385783666335,0.35025252522341144,0.07894092564308926,1.0613489757705725,0.13425858756786524,0.1664158546908125,0.029230364598439862,0.8693169523079376,0.6978296570017101,12,89.16666666666667,5.030462757595523,82.0,100.0,605.1666666666666,196.9690472017255,285.0,920.0,4.416666666666667,0.4930066485916347,4.0,5.0,0.6117835186672032,0.777628700113406,0.9584371811762508,-0.413214169243298,0.3654290649008141,0.09336893997754098,0.9399666575604037,0.3250953640042155,0.6197822174457236,0.14698032194665947,0.9612403100775194,0.9491520624078763,2.250915050506592,True,0.9418604651162791,0.9276565730250604,1.7582905292510986,True,0.7325581395348837,0.7277627401837928,2.2164738178253174,True,0.6821705426356589,0.6122393244893246,0.36010289192199707,True
28,20250527_105559,13.157794952392578,dc_sbm,standard,12,0.6000000000000001,0.12000000000000001,0.18549610772379177,0.04362131472046078,0.5846312725955531,0.0905170173723797,0.8168325711907395,0.082523969455594,1.2907058123423782,0.21685048337557683,0.7974083188981778,0.45256369724725654,12,87.91666666666667,5.936586186989587,80.0,96.0,758.75,171.46628677381452,410.0,1016.0,4.333333333333333,0.4714045207910316,4.0,5.0,0.724655707058792,0.8509653371688434,0.9819409125062322,-0.04253396405619194,0.33821128597637884,0.059306677397959,1.00410487555183,0.31255961877714894,0.6710945376647777,0.13417313766060213,0.8955223880597015,0.7369353416207605,1.1574804782867432,True,0.8843283582089553,0.7267286748578722,0.8841094970703125,True,0.8022388059701493,0.6589619865621593,0.7269723415374756,True,0.7947761194029851,0.6514630224553889,0.333829402923584,True
29,20250527_105621,22.070905923843384,dc_sbm,standard,12,0.6000000000000001,0.12000000000000001,0.037115054963707865,0.0193299651521035,0.8318961986371698,0.01986974490398822,1.4165579658994916,0.39627224331284017,1.0866803837259578,0.4978472604322324,0.938148857035068,0.23372659022212572,12,88.5,4.873397172404482,81.0,98.0,691.0,160.93684061353594,485.0,1056.0,4.333333333333333,0.4714045207910317,4.0,5.0,0.7152636425284358,0.8231060606060604,0.9856342049860048,-0.041162318541951716,0.3667455710354317,0.07424538399103192,1.1069596933633246,0.3425346581691212,0.3362526691410705,0.09485527057286465,0.792156862745098,0.7942681774890067,2.4865872859954834,True,0.8,0.8095938478885017,1.6535191535949707,True,0.5215686274509804,0.42513005667300907,0.8644413948059082,True,0.43137254901960786,0.34966954478728374,0.3525886535644531,True
30,20250527_105634,12.89917254447937,dc_sbm,standard,12,0.6000000000000001,0.17,0.021347640451062147,0.03421713166393437,0.5349626173910872,0.03691870767499651,0.912614643726435,0.2980452632523385,1.076949944555074,0.08666701938719995,0.6266969173881083,0.500678872676934,12,90.16666666666667,4.633812924819281,81.0,99.0,1040.9166666666667,180.26020929632685,793.0,1423.0,4.416666666666667,0.4930066485916346,4.0,5.0,0.7935433639652375,0.8970689033189032,0.9895198579819354,0.19453929722451,0.3524025341130604,0.03773400115671988,0.937602719707742,0.20039774091004092,0.31511757075216146,0.06467641176760218,0.620817843866171,0.45858966310943705,1.406162977218628,True,0.7434944237918215,0.5968522540022043,1.135345220565796,True,0.48698884758364314,0.38592824138228704,1.134420394897461,True,0.5018587360594795,0.38812185467260785,0.34763622283935547,True
